n;V_rossi;V_gialli;V_blu
0;532;532;532
1;180;174;332
2;63,3;55;250
3;24,8;21;177
4;10,9;9,8;132,8
5;5;4,9;100,8
6;2,4;2,2;71,6
7;0,98;1,3;53,2
9;;;31,5
