n;V_rossi;V_gialli;V_blu
0;448;448;448
1;224;295;248
2;143;196,5;163,5
3;93;141;105,7
4;59;99;65,2
5;43;71,9;43,7
6;30;54,2;33,4
7;22;42,4;24
9;13,8;28,2;12,5
;;;
