n;V_rossi;V_gialli;V_blu
0;156,4;156,4;156,4
1;68,6;106,7;88,4
2;30;66,5;57
3;16;46,8;36,4
4;8,4;32,3;22,6
5;4,9;23,9;14
6;3,2;17,7;8,7
7;2;13,9;5,4
9;;9,1;
;;;
