p,d_1,d_2,d_3,d_4
1,2.9,1.6,0.8,0.4
2,5.7,3.1,1.6,0.8
3,8.5,4.6,2.3,1.1
4,11.5,6.1,3.1,1.6
5,14.7,7.5,3.9,2
6,17.6,9.1,4.6,2.3
7,20.6,10.6,5.4,2.7
8,23.6,12.2,6.1,3.5
9,26.6,13.6,6.8,3.8
