	65	70	75	
1130	0.085803	0.085895	0.089136	
1135	0.085098	0.083866	0.088037	
1140	0.084674	0.085825	0.088471	
1145	0.083687	0.085717	0.087444	
1150	0.083562	0.08328	0.086061	
1155	0.082562	0.083812	0.085991	
1160	0.083544	0.083341	0.085073	
1165	0.082755	0.082954	0.084525	
1170	0.081947	0.082529	0.084323	
1175	0.082125	0.08213	0.085191	
1180	0.081887	0.081461	0.084624	
1185	0.081532	0.081159	0.083922	
1190	0.081257	0.082318	0.083405	
1195	0.080433	0.080576	0.082603	
1200	0.079995	0.080487	0.081767	
1205	0.079993	0.079271	0.082561	
1210	0.078932	0.078833	0.081421	
1215	0.079569	0.079226	0.080865	
1220	0.078772	0.079026	0.080685	
1225	0.079147	0.077834	0.080901	
1230	0.077579	0.077811	0.079624	
1235	0.077853	0.077656	0.079653	
1240	0.078483	0.076967	0.07948	
1245	0.077529	0.077015	0.078198	
1250	0.077116	0.077441	0.078139	
1255	0.077061	0.077335	0.078497	
1260	0.075528	0.075978	0.077543	
1265	0.075999	0.075379	0.076819	
1270	0.07674	0.075839	0.076675	
1275	0.075115	0.074996	0.07641	
1280	0.07485	0.074973	0.076063	
1285	0.075237	0.07393	0.075972	
1290	0.0752	0.07429	0.074124	
1295	0.074413	0.073811	0.075286	
1300	0.073813	0.073141	0.075271	
1305	0.072492	0.071898	0.07546	
1310	0.07297	0.074431	0.074632	
1315	0.073045	0.07341	0.073936	
1320	0.073234	0.071734	0.073401	
1325	0.072536	0.07246	0.073828	
1330	0.071934	0.072944	0.07226	
1335	0.071012	0.072435	0.072347	
1340	0.070943	0.071869	0.072411	
1345	0.07249	0.071359	0.071972	
1350	0.070292	0.073597	0.07141	
1355	0.070127	0.070245	0.073214	
1360	0.071405	0.071253	0.071821	
1365	0.069705	0.069049	0.070853	
1370	0.069328	0.069	0.07	
1375	0.06923	0.06988	0.07066	
1380	0.067998	0.068688	0.070741	
1385	0.068926	0.068942	0.069384	
1390	0.067463	0.069506	0.069568	
1395	0.068274	0.06739	0.070928	
1400	0.068293	0.067806	0.068376	
1405	0.066948	0.067228	0.067733	
1410	0.06612	0.067308	0.069295	
1415	0.06679	0.066924	0.067818	
1420	0.065779	0.066401	0.068633	
1425	0.066049	0.067327	0.067519	
1430	0.065744	0.066036	0.067262	
1435	0.065422	0.064641	0.067093	
1440	0.064713	0.065853	0.066506	
1445	0.065332	0.065687	0.066308	
1450	0.065813	0.064749	0.06543	
1455	0.066126	0.065736	0.066439	
1460	0.064811	0.065393	0.066417	
1465	0.063707	0.06483	0.064643	
1470	0.063901	0.06395	0.064436	
1475	0.063694	0.063881	0.064599	
1480	0.064238	0.063631	0.06496	
1485	0.064076	0.064139	0.064235	
1490	0.06357	0.063799	0.064506	
1495	0.063052	0.063109	0.063783	
1500	0.063243	0.06286	0.064049	
1505	0.062461	0.062949	0.064053	
1510	0.062556	0.061342	0.063041	
1515	0.062254	0.061098	0.063294	
1520	0.062878	0.061649	0.063642	
1525	0.060995	0.061244	0.062416	
1530	0.059581	0.060015	0.062007	
1535	0.06096	0.061136	0.062883	
1540	0.060135	0.060346	0.061912	
1545	0.059592	0.061344	0.061978	
1550	0.059279	0.060599	0.062096	
1555	0.060049	0.059504	0.062275	
1560	0.059753	0.060241	0.060749	
1565	0.05875	0.060794	0.062331	
1570	0.059655	0.060119	0.06099	
1575	0.059875	0.05911	0.058946	
1580	0.058702	0.059089	0.058637	
1585	0.0582	0.058523	0.061376	
1590	0.058524	0.059548	0.060744	
1595	0.059085	0.057852	0.060816	
1600	0.059625	0.058437	0.0593	
1605	0.058115	0.057524	0.058199	
1610	0.057266	0.058403	0.058095	
1615	0.057756	0.057828	0.057621	
1620	0.058224	0.056668	0.058249	
1625	0.056033	0.058396	0.057591	
1630	0.057124	0.058319	0.059136	
1635	0.05647	0.056755	0.056248	
1640	0.056396	0.056035	0.058145	
1645	0.056926	0.05668	0.057703	
1650	0.056677	0.056375	0.055734	
1655	0.056112	0.055565	0.057393	
1660	0.056437	0.056743	0.055474	
1665	0.056162	0.057842	0.055197	
