	n_Si	k_SI
1550	3.4859	0.060599
1555	3.4856	0.059504
1560	3.4852	0.060241
1565	3.4848	0.060794
1570	3.4839	0.060119
1575	3.4837	0.05911
1580	3.4839	0.059089
1585	3.4846	0.058523
1590	3.4842	0.059548
1595	3.483	0.057852
1600	3.4826	0.058437
1605	3.4812	0.057524
1610	3.4805	0.058403
1615	3.4804	0.057828
1620	3.4803	0.056668
1625	3.4795	0.058396
1630	3.4795	0.058319
1635	3.4794	0.056755
1640	3.4784	0.056035
1645	3.4791	0.05668
1650	3.4772	0.056375
1655	3.4781	0.055565
1660	3.478	0.056743
1665	3.4777	0.057842
1670	3.4775	0.056882
1675	3.4774	0.057511
1680	3.4763	0.055951
1685	3.4756	0.055506
1690	3.4757	0.056154
1695	3.4759	0.05478
1700	3.4753	0.055151
1705	3.4737	0.055191
1710	3.4744	0.055735
1715	3.4732	0.055126
1720	3.4732	0.054365
1725	3.4735	0.053693
1730	3.4732	0.055032
1735	3.4736	0.053299
1740	3.4732	0.053743
1745	3.4708	0.053809
1750	3.4716	0.051681
1755	3.4725	0.052727
1760	3.4722	0.056459
1765	3.472	0.053617
1770	3.4729	0.049435
1775	3.4722	0.050329
1780	3.4704	0.053183
1785	3.4714	0.05155
1790	3.4701	0.051502
1795	3.4715	0.052864
1800	3.4708	0.052972
