
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.776	0.08105	0.081052	0.081074	0.081176	0.081463	0.082115	0.083409	0.085781	0.089907	0.096835	
0.778	0.081035	0.081036	0.081059	0.08116	0.081448	0.082099	0.083393	0.085766	0.089891	0.096819	
0.78	0.081019	0.081021	0.081043	0.081145	0.081432	0.082084	0.083378	0.08575	0.089876	0.096804	
0.782	0.081004	0.081006	0.081028	0.081129	0.081417	0.082068	0.083363	0.085735	0.08986	0.096788	
0.784	0.080989	0.08099	0.081013	0.081114	0.081402	0.082053	0.083347	0.08572	0.089845	0.096773	
0.786	0.080974	0.080975	0.080998	0.081099	0.081387	0.082038	0.083332	0.085704	0.08983	0.096758	
0.788	0.080959	0.08096	0.080983	0.081084	0.081372	0.082023	0.083317	0.085689	0.089814	0.096742	
0.79	0.080944	0.080945	0.080968	0.081069	0.081357	0.082008	0.083302	0.085674	0.089799	0.096727	
0.792	0.080929	0.08093	0.080953	0.081054	0.081342	0.081993	0.083287	0.085659	0.089784	0.096712	
0.794	0.080914	0.080915	0.080938	0.081039	0.081327	0.081978	0.083272	0.085644	0.089769	0.096697	
0.796	0.080899	0.0809	0.080923	0.081024	0.081312	0.081963	0.083257	0.085629	0.089754	0.096682	
0.798	0.080884	0.080886	0.080908	0.08101	0.081297	0.081948	0.083242	0.085614	0.08974	0.096668	
0.8	0.08087	0.080871	0.080894	0.080995	0.081283	0.081934	0.083228	0.0856	0.089725	0.096653	
0.802	0.080855	0.080857	0.080879	0.08098	0.081268	0.081919	0.083213	0.085585	0.08971	0.096638	
0.804	0.080841	0.080842	0.080865	0.080966	0.081254	0.081905	0.083199	0.085571	0.089696	0.096624	
0.806	0.080826	0.080828	0.08085	0.080952	0.081239	0.08189	0.083184	0.085556	0.089681	0.096609	
0.808	0.080812	0.080813	0.080836	0.080937	0.081225	0.081876	0.08317	0.085542	0.089667	0.096595	
0.81	0.080798	0.080799	0.080822	0.080923	0.081211	0.081862	0.083156	0.085527	0.089652	0.09658	
0.812	0.080783	0.080785	0.080808	0.080909	0.081196	0.081847	0.083141	0.085513	0.089638	0.096566	
0.814	0.080769	0.080771	0.080793	0.080895	0.081182	0.081833	0.083127	0.085499	0.089624	0.096552	
0.816	0.080755	0.080757	0.080779	0.080881	0.081168	0.081819	0.083113	0.085485	0.08961	0.096537	
0.818	0.080741	0.080743	0.080765	0.080867	0.081154	0.081805	0.083099	0.085471	0.089596	0.096523	
0.82	0.080727	0.080729	0.080751	0.080853	0.08114	0.081791	0.083085	0.085457	0.089582	0.096509	
0.822	0.080714	0.080715	0.080738	0.080839	0.081126	0.081777	0.083071	0.085443	0.089568	0.096495	
0.824	0.0807	0.080701	0.080724	0.080825	0.081113	0.081764	0.083057	0.085429	0.089554	0.096481	
0.826	0.080686	0.080688	0.08071	0.080811	0.081099	0.08175	0.083044	0.085415	0.08954	0.096468	
0.828	0.080672	0.080674	0.080696	0.080798	0.081085	0.081736	0.08303	0.085401	0.089526	0.096454	
0.83	0.080659	0.08066	0.080683	0.080784	0.081072	0.081723	0.083016	0.085388	0.089512	0.09644	
0.832	0.080645	0.080647	0.080669	0.080771	0.081058	0.081709	0.083003	0.085374	0.089499	0.096427	
0.834	0.080632	0.080633	0.080656	0.080757	0.081045	0.081696	0.082989	0.085361	0.089485	0.096413	
0.836	0.080619	0.08062	0.080643	0.080744	0.081031	0.081682	0.082976	0.085347	0.089472	0.096399	
0.838	0.080605	0.080607	0.080629	0.08073	0.081018	0.081669	0.082962	0.085334	0.089458	0.096386	
0.84	0.080592	0.080593	0.080616	0.080717	0.081005	0.081656	0.082949	0.085321	0.089445	0.096373	
0.842	0.080579	0.08058	0.080603	0.080704	0.080992	0.081642	0.082936	0.085307	0.089432	0.096359	
0.844	0.080566	0.080567	0.08059	0.080691	0.080978	0.081629	0.082923	0.085294	0.089418	0.096346	
0.846	0.080552	0.080554	0.080576	0.080678	0.080965	0.081616	0.08291	0.085281	0.089405	0.096333	
0.848	0.080539	0.080541	0.080563	0.080665	0.080952	0.081603	0.082896	0.085268	0.089392	0.09632	
0.85	0.080526	0.080528	0.08055	0.080652	0.080939	0.08159	0.082883	0.085255	0.089379	0.096306	
0.852	0.080514	0.080515	0.080538	0.080639	0.080926	0.081577	0.08287	0.085242	0.089366	0.096293	
0.854	0.080501	0.080502	0.080525	0.080626	0.080913	0.081564	0.082858	0.085229	0.089353	0.09628	
0.856	0.080488	0.080489	0.080512	0.080613	0.080901	0.081551	0.082845	0.085216	0.08934	0.096268	
0.858	0.080475	0.080477	0.080499	0.0806	0.080888	0.081539	0.082832	0.085203	0.089327	0.096255	
0.86	0.080462	0.080464	0.080486	0.080588	0.080875	0.081526	0.082819	0.08519	0.089314	0.096242	
0.862	0.08045	0.080451	0.080474	0.080575	0.080862	0.081513	0.082806	0.085178	0.089302	0.096229	
0.864	0.080437	0.080439	0.080461	0.080562	0.08085	0.0815	0.082794	0.085165	0.089289	0.096216	
0.866	0.080425	0.080426	0.080449	0.08055	0.080837	0.081488	0.082781	0.085152	0.089276	0.096204	
0.868	0.080412	0.080414	0.080436	0.080537	0.080825	0.081475	0.082769	0.08514	0.089264	0.096191	
0.87	0.0804	0.080401	0.080424	0.080525	0.080812	0.081463	0.082756	0.085127	0.089251	0.096178	
0.872	0.080387	0.080389	0.080411	0.080513	0.0808	0.081451	0.082744	0.085115	0.089239	0.096166	
0.874	0.080375	0.080376	0.080399	0.0805	0.080788	0.081438	0.082731	0.085102	0.089226	0.096154	
0.876	0.080363	0.080364	0.080387	0.080488	0.080775	0.081426	0.082719	0.08509	0.089214	0.096141	
0.878	0.08035	0.080352	0.080374	0.080476	0.080763	0.081414	0.082707	0.085078	0.089201	0.096129	
0.88	0.080338	0.08034	0.080362	0.080463	0.080751	0.081401	0.082695	0.085065	0.089189	0.096116	
0.882	0.080326	0.080328	0.08035	0.080451	0.080739	0.081389	0.082682	0.085053	0.089177	0.096104	
0.884	0.080314	0.080315	0.080338	0.080439	0.080727	0.081377	0.08267	0.085041	0.089165	0.096092	
0.886	0.080302	0.080303	0.080326	0.080427	0.080715	0.081365	0.082658	0.085029	0.089153	0.09608	
0.888	0.08029	0.080291	0.080314	0.080415	0.080703	0.081353	0.082646	0.085017	0.08914	0.096068	
0.89	0.080278	0.080279	0.080302	0.080403	0.080691	0.081341	0.082634	0.085005	0.089128	0.096056	
0.892	0.080266	0.080268	0.08029	0.080391	0.080679	0.081329	0.082622	0.084993	0.089116	0.096044	
0.894	0.080254	0.080256	0.080278	0.080379	0.080667	0.081317	0.08261	0.084981	0.089104	0.096032	
0.896	0.080242	0.080244	0.080266	0.080368	0.080655	0.081305	0.082598	0.084969	0.089093	0.09602	
0.898	0.080231	0.080232	0.080255	0.080356	0.080643	0.081294	0.082587	0.084957	0.089081	0.096008	
0.9	0.080219	0.08022	0.080243	0.080344	0.080631	0.081282	0.082575	0.084945	0.089069	0.095996	
