
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.41	0.087814	0.087815	0.087838	0.08794	0.088231	0.088886	0.090187	0.092567	0.096696	0.10361	
0.412	0.087724	0.087726	0.087749	0.087851	0.088141	0.088797	0.090098	0.092478	0.096607	0.10352	
0.414	0.087636	0.087638	0.087661	0.087763	0.088053	0.088709	0.09001	0.09239	0.096519	0.10344	
0.416	0.08755	0.087551	0.087574	0.087676	0.087966	0.088622	0.089923	0.092303	0.096432	0.10335	
0.418	0.087464	0.087466	0.087489	0.087591	0.087881	0.088537	0.089838	0.092217	0.096347	0.10326	
0.42	0.08738	0.087382	0.087405	0.087507	0.087797	0.088452	0.089753	0.092133	0.096262	0.10318	
0.422	0.087297	0.087299	0.087322	0.087424	0.087714	0.08837	0.08967	0.09205	0.096179	0.1031	
0.424	0.087216	0.087217	0.08724	0.087342	0.087632	0.088288	0.089589	0.091968	0.096098	0.10302	
0.426	0.087135	0.087137	0.087159	0.087262	0.087552	0.088207	0.089508	0.091888	0.096017	0.10294	
0.428	0.087056	0.087057	0.08708	0.087182	0.087472	0.088128	0.089428	0.091808	0.095938	0.10286	
0.43	0.086978	0.086979	0.087002	0.087104	0.087394	0.08805	0.08935	0.09173	0.095859	0.10278	
0.432	0.086901	0.086902	0.086925	0.087027	0.087317	0.087972	0.089273	0.091652	0.095782	0.1027	
0.434	0.086825	0.086826	0.086849	0.086951	0.087241	0.087896	0.089197	0.091576	0.095706	0.10263	
0.436	0.08675	0.086751	0.086774	0.086876	0.087166	0.087821	0.089122	0.091501	0.095631	0.10255	
0.438	0.086676	0.086677	0.0867	0.086802	0.087092	0.087747	0.089048	0.091427	0.095557	0.10248	
0.44	0.086603	0.086604	0.086627	0.086729	0.087019	0.087674	0.088975	0.091354	0.095484	0.10241	
0.442	0.086531	0.086533	0.086555	0.086658	0.086947	0.087603	0.088903	0.091282	0.095412	0.10233	
0.444	0.08646	0.086462	0.086484	0.086587	0.086876	0.087532	0.088832	0.091211	0.095341	0.10226	
0.446	0.08639	0.086392	0.086415	0.086517	0.086807	0.087462	0.088762	0.091141	0.095271	0.10219	
0.448	0.086321	0.086323	0.086346	0.086448	0.086738	0.087393	0.088693	0.091072	0.095202	0.10212	
0.45	0.086253	0.086255	0.086278	0.08638	0.08667	0.087325	0.088625	0.091004	0.095134	0.10206	
0.452	0.086186	0.086188	0.086211	0.086313	0.086602	0.087257	0.088558	0.090937	0.095067	0.10199	
0.454	0.08612	0.086122	0.086144	0.086247	0.086536	0.087191	0.088491	0.09087	0.095001	0.10192	
0.456	0.086055	0.086056	0.086079	0.086181	0.086471	0.087126	0.088426	0.090805	0.094935	0.10186	
0.458	0.08599	0.085992	0.086015	0.086117	0.086406	0.087061	0.088361	0.09074	0.094871	0.10179	
0.46	0.085927	0.085928	0.085951	0.086053	0.086343	0.086998	0.088298	0.090677	0.094807	0.10173	
0.462	0.085864	0.085866	0.085888	0.08599	0.08628	0.086935	0.088235	0.090614	0.094744	0.10167	
0.464	0.085802	0.085804	0.085826	0.085928	0.086218	0.086873	0.088173	0.090552	0.094682	0.10161	
0.466	0.085741	0.085742	0.085765	0.085867	0.086157	0.086812	0.088111	0.09049	0.094621	0.10154	
0.468	0.085681	0.085682	0.085705	0.085807	0.086096	0.086751	0.088051	0.09043	0.09456	0.10148	
0.47	0.085621	0.085622	0.085645	0.085747	0.086037	0.086692	0.087991	0.09037	0.0945	0.10142	
0.472	0.085562	0.085564	0.085586	0.085688	0.085978	0.086633	0.087932	0.090311	0.094441	0.10137	
0.474	0.085504	0.085506	0.085528	0.08563	0.08592	0.086575	0.087874	0.090253	0.094383	0.10131	
0.476	0.085447	0.085448	0.085471	0.085573	0.085863	0.086517	0.087817	0.090195	0.094326	0.10125	
0.478	0.08539	0.085392	0.085414	0.085516	0.085806	0.08646	0.08776	0.090139	0.094269	0.10119	
0.48	0.085334	0.085336	0.085358	0.08546	0.08575	0.086404	0.087704	0.090083	0.094213	0.10114	
0.482	0.085279	0.08528	0.085303	0.085405	0.085695	0.086349	0.087649	0.090027	0.094157	0.10108	
0.484	0.085224	0.085226	0.085249	0.085351	0.08564	0.086295	0.087594	0.089972	0.094103	0.10103	
