0,0125	96	1,2	173,9	19	0,109258194
0,2128125	96	20,43	173,6	52,3	0,301267281
0,45057232	96,1	43,3	173,1	101	0,583477759
0,659729448	96,1	63,4	172,8	164	0,949074074
0,895833333	96	86	171,9	233,8	1,360093077
1,137643379	95,9	109,1	166,7	312,8	1,876424715
1,397703549	95,8	133,9	161,7	337,8	2,089053803
1,636363636	95,7	156,6	152	364,9	2,400657895
1,905956113	95,7	182,4	138,3	386,9	2,797541576
2,137172775	95,5	204,1	123	403,6	3,281300813
2,450630252	95,2	233,3	105,3	418,2	3,971509972
2,715189873	94,8	257,4	79,8	434,2	5,441102757
2,973460722	94,2	280,1	58,6	445,1	7,59556314
3,294498382	92,7	305,4	47	450,1	9,576595745
3,647777778	90	328,3	30,9	456,4	14,77022654
4,226840855	84,2	355,9	23,5	459,6	19,55744681
5,001322751	75,6	378,1			
6,3824	62,5	398,9			
9,367713004	44,6	417,8			
12,66468843	33,7	426,8			
18,06666667	24	433,6			
