I;V_0;V_05;V_10;V_50
0;0,3;0,4;0,43;0,31
2;107,5;104,8;108;108,9
4;237,7;237;243,3;245,1
6;315;372,5;383,5;385,7
8;346;508;524,5;526,5
10;363,5;630;663;664
12;375,7;750;795;801
14;384,7;807;926;932
16;391,9;833;1054;1062
18;397,6;849;1164;1183
20;402;862;1260;1307
